AGE,EDUC,MARRIED,KIDS,OCCAT1,OCCAT2,INCOME,WAGEINC,YESFINRISK,NOFINRISK,SAVING,HSTOCKS,HBROK,HOUSECL,NETWORTH,RiskTolerance
55,3.0,1,0,2,1,2066779.3402,559964.84586,0,0,0.0,1,1,2,107368000.0,0.9869896814715119
55,3.0,1,0,2,1,1893699.2969,559964.84586,0,0,0.0,1,1,2,107640000.0,0.9882310663911599
55,3.0,1,0,2,1,1771525.1487,559964.84586,0,0,0.0,1,1,2,108422000.0,0.9846043680630147
55,3.0,1,0,2,1,1873336.9389,559964.84586,0,0,0.0,1,1,2,108638000.0,0.9874326750448833
59,13.0,1,0,2,1,1934424.013,0.0,0,0,0.0,1,1,1,11315000.0,0.8595641646489104
59,13.0,1,0,2,1,1944605.192,0.0,0,0,0.0,1,1,1,11509000.0,0.8449074074074074
59,13.0,1,0,2,1,1944605.192,0.0,0,0,0.0,1,1,1,12082000.0,0.8163265306122449
59,13.0,1,0,2,1,1944605.192,0.0,0,0,0.0,1,1,1,11367000.0,0.8626887131560029
59,13.0,1,0,2,1,1934424.013,0.0,0,0,0.0,1,1,1,11324000.0,0.8718818115766529
59,13.0,1,0,2,1,998773.66144,7534.0724716,0,0,0.0,1,1,1,31149530.0,0.9946719035115439
59,13.0,1,0,2,1,890853.16387,7534.0724716,0,0,0.0,1,1,1,28361530.0,0.9922977166887368
59,13.0,1,0,2,1,966193.88859,7534.0724716,0,0,0.0,1,1,1,29151530.0,0.9939582302413394
59,13.0,1,0,2,1,964157.65279,7534.0724716,0,0,0.0,1,1,1,34364530.0,0.9965102212053389
59,13.0,1,0,2,1,883726.33856,7534.0724716,0,0,0.0,1,1,1,30009530.0,0.9939902485234923
95,12.0,2,0,3,4,31561.654949,20.362358031,0,0,500.0,0,0,1,1850810.0,0.9906408684387361
95,12.0,2,0,3,4,31561.654949,20.362358031,0,0,500.0,0,0,1,764110.0,0.9569072756849861
95,12.0,2,0,3,4,31561.654949,20.362358031,0,0,500.0,0,0,1,1253610.0,0.9833929515310199
95,12.0,2,0,3,4,31561.654949,10.181179016,0,0,500.0,0,0,1,1358510.0,0.9852108898643693
95,12.0,2,0,3,4,30543.537047,20.362358031,0,0,500.0,0,0,1,778810.0,0.9579795340735903
66,13.0,1,0,3,4,0.0,0.0,0,0,100000.0,1,1,1,1331800.0,0.3765432098765432
66,13.0,1,0,3,4,0.0,0.0,0,0,100000.0,1,1,1,1330800.0,0.3746130030959752
66,13.0,1,0,3,4,0.0,0.0,0,0,100000.0,1,1,1,1331700.0,0.3765432098765432
66,13.0,1,0,3,4,0.0,0.0,0,0,100000.0,1,1,1,1330800.0,0.3746130030959752
66,13.0,1,0,3,4,0.0,0.0,0,0,100000.0,1,1,1,1331800.0,0.3765432098765432
41,11.0,1,2,3,4,1303190.914,11199.296917,0,0,2800.0,1,1,2,29345800.0,0.9424769587424845
41,11.0,1,2,3,4,1303190.914,10181.179016,0,0,2800.0,1,1,2,29483800.0,0.9336781373116493
41,11.0,1,2,3,4,1303190.914,10181.179016,0,0,2800.0,1,1,2,29511800.0,0.9336781373116493
41,11.0,1,2,3,4,1303190.914,10181.179016,0,0,2800.0,1,1,2,29041800.0,0.9559905939931558
41,11.0,1,2,3,4,1303190.914,10181.179016,0,0,2800.0,1,1,2,29421800.0,0.9413680475155075
56,10.0,1,1,1,1,87558.139535,49887.777177,0,0,10000.0,0,1,1,3946500.0,0.9846743295019157
56,10.0,1,1,1,1,89594.375338,48869.659275,0,0,11000.0,1,1,1,3173300.0,0.9654332267397594
56,10.0,1,1,1,1,103848.02596,48869.659275,0,0,10000.0,0,1,1,4997000.0,0.9859350100464214
56,10.0,1,1,1,1,114029.20498,49887.777177,0,0,9600.0,1,1,1,5006600.0,0.9829608699374947
56,10.0,1,1,1,1,94684.964846,49887.777177,0,0,9000.0,0,1,1,4252100.0,0.9848306217087165
64,12.0,1,0,1,2,300344.78096,239257.70687,0,0,0.0,1,0,1,135400.0,0.3867924528301887
64,12.0,1,0,1,2,300344.78096,239257.70687,0,0,0.0,1,0,1,134400.0,0.3867924528301887
64,12.0,1,0,1,2,300344.78096,239257.70687,0,0,0.0,1,0,1,134400.0,0.3867924528301887
64,12.0,1,0,1,2,300344.78096,239257.70687,0,0,0.0,1,0,1,134400.0,0.3867924528301887
64,12.0,1,0,1,2,300344.78096,239257.70687,0,0,0.0,1,0,1,135500.0,0.3867924528301887
67,13.0,1,0,1,1,1048661.4386,814494.32125,0,0,0.0,1,1,1,9609000.0,0.4821037253469686
67,13.0,1,0,1,1,1048661.4386,814494.32125,0,0,0.0,1,1,1,9609000.0,0.4821037253469686
67,13.0,1,0,1,1,1038480.2596,814494.32125,0,0,0.0,1,1,1,9609000.0,0.4821037253469686
67,13.0,1,0,1,1,1038480.2596,814494.32125,0,0,0.0,1,1,1,9609000.0,0.4821037253469686
67,13.0,1,0,1,1,1038480.2596,814494.32125,0,0,0.0,1,1,1,9609000.0,0.4821037253469686
69,12.0,1,2,1,1,230094.64575,183261.22228,0,0,75000.0,0,1,1,1537400.0,0.08333333333333333
69,12.0,1,2,1,1,230094.64575,183261.22228,0,0,75000.0,0,1,1,1537500.0,0.08333333333333333
69,12.0,1,2,1,1,230094.64575,183261.22228,0,0,75000.0,0,1,1,1537500.0,0.08333333333333333
69,12.0,1,2,1,1,230094.64575,183261.22228,0,0,75000.0,0,1,1,1537500.0,0.08333333333333333
69,12.0,1,2,1,1,230094.64575,183261.22228,0,0,75000.0,0,1,1,1537500.0,0.08333333333333333
77,13.0,1,0,2,1,2881273.6614,458153.05571,0,0,1100000.0,1,1,1,63142000.0,0.9537784299339692
77,13.0,1,0,2,1,2219497.0254,447971.87669,0,0,1580000.0,1,1,1,58085000.0,0.9332803812549643
77,13.0,1,0,2,1,1985329.9081,419464.57545,0,0,1150000.0,1,1,1,57804000.0,0.9491114701130856
77,13.0,1,0,2,1,2626744.186,472406.70633,0,0,1080000.0,1,1,1,54388000.0,0.934012048755429
77,13.0,1,0,2,1,3217252.569,472406.70633,0,0,1500000.0,1,1,1,53340500.0,0.9074684654708249
71,13.0,1,0,3,4,103848.02596,0.0,0,0,98000.0,0,1,1,937000.0,0.014285714285714285
71,13.0,1,0,3,4,107920.49757,0.0,0,0,98000.0,0,1,1,936000.0,0.014285714285714285
71,13.0,1,0,3,4,107920.49757,0.0,0,0,98000.0,0,1,1,937000.0,0.014285714285714285
71,13.0,1,0,3,4,99775.554354,0.0,0,0,98000.0,0,1,1,937000.0,0.014285714285714285
71,13.0,1,0,3,4,102829.90806,0.0,0,0,98000.0,0,1,1,937000.0,0.014285714285714285
74,8.0,1,0,3,4,30543.537047,0.0,0,1,1500.0,1,0,1,192100.0,0.45871559633027525
74,8.0,1,0,3,4,29525.419145,0.0,0,1,1500.0,1,0,1,219500.0,0.45871559633027525
74,8.0,1,0,3,4,29525.419145,0.0,0,1,1500.0,1,0,1,218200.0,0.45871559633027525
74,8.0,1,0,3,4,29525.419145,0.0,0,1,1500.0,1,0,1,218400.0,0.45871559633027525
74,8.0,1,0,3,4,29525.419145,0.0,0,1,1500.0,1,0,1,227600.0,0.45871559633027525
76,8.0,2,0,3,4,45815.305571,0.0,0,0,0.0,0,1,1,271300.0,0.8576998050682261
76,8.0,2,0,3,4,45815.305571,0.0,0,0,0.0,0,1,1,250100.0,0.9278350515463918
76,8.0,2,0,3,4,46833.423472,0.0,0,0,0.0,0,1,1,304100.0,0.9747292418772563
76,8.0,2,0,3,4,46833.423472,0.0,0,0,0.0,0,1,1,596000.0,0.8666666666666667
76,8.0,2,0,3,4,45815.305571,0.0,0,0,0.0,0,1,1,310000.0,0.43333333333333335
30,12.0,2,0,1,2,49887.777177,49887.777177,0,0,0.0,1,1,2,17970.0,0.09090909090909091
30,12.0,2,0,1,2,49887.777177,49887.777177,0,0,0.0,1,1,2,18070.0,0.09090909090909091
30,12.0,2,0,1,2,49887.777177,49887.777177,0,0,0.0,1,1,2,17970.0,0.09090909090909091
30,12.0,2,0,1,2,49887.777177,49887.777177,0,0,0.0,1,1,2,17970.0,0.09090909090909091
30,12.0,2,0,1,2,49887.777177,49887.777177,0,0,0.0,1,1,2,17970.0,0.09090909090909091
69,13.0,1,0,2,1,1466089.7783,305435.37047,0,0,0.0,1,1,1,14548000.0,0.8293321693583589
69,13.0,1,0,2,1,1476270.9573,305435.37047,0,0,0.0,1,1,1,14549000.0,0.8293321693583589
69,13.0,1,0,2,1,1466089.7783,305435.37047,0,0,0.0,1,1,1,14548000.0,0.8293321693583589
69,13.0,1,0,2,1,1466089.7783,305435.37047,0,0,0.0,1,1,1,14548000.0,0.8293321693583589
69,13.0,1,0,2,1,1466089.7783,305435.37047,0,0,0.0,1,1,1,14548000.0,0.8293321693583589
75,9.0,1,0,3,4,132355.3272,0.0,0,0,4700.0,1,1,2,935200.0,0.4787493893502687
75,9.0,1,0,3,4,128282.8556,0.0,0,0,4700.0,1,1,2,934200.0,0.4787493893502687
75,9.0,1,0,3,4,143554.62412,0.0,0,0,4700.0,1,1,2,935200.0,0.4787493893502687
75,9.0,1,0,3,4,134391.56301,0.0,0,0,4700.0,1,1,2,935200.0,0.4787493893502687
75,9.0,1,0,3,4,126246.61979,0.0,0,0,4700.0,1,1,2,935200.0,0.4787493893502687
95,12.0,2,0,2,1,104866.14386,0.0,0,1,19000.0,0,1,1,5657000.0,0.7770762506070908
95,12.0,2,0,2,1,104866.14386,0.0,0,1,19000.0,0,1,1,5694900.0,0.7490636704119851
95,12.0,2,0,2,1,104866.14386,0.0,0,1,19000.0,0,1,1,5758300.0,0.7026789635485288
95,12.0,2,0,2,1,104866.14386,0.0,0,1,19000.0,0,1,1,5664900.0,0.7600950118764845
95,12.0,2,0,2,1,104866.14386,0.0,0,1,19000.0,0,1,1,5665500.0,0.7755695588948134
48,13.0,1,2,1,2,9926649.5403,582363.4397,0,0,345000.0,1,1,1,50943000.0,0.7899957489017996
48,13.0,1,2,1,2,9896106.0032,582363.4397,0,0,298000.0,1,1,1,46665700.0,0.9373012844970113
48,13.0,1,2,1,2,9865562.4662,582363.4397,0,0,377000.0,1,1,1,47726200.0,0.9103956555469356
48,13.0,1,2,1,2,9906287.1823,582363.4397,0,0,302000.0,1,1,1,46477500.0,0.9411264118830265
48,13.0,1,2,1,2,9885924.8242,582363.4397,0,0,359000.0,1,1,1,50668000.0,0.8925927332093094
57,13.0,1,3,1,1,6689034.6133,4886965.9275,0,0,0.0,1,1,1,74519430.0,0.8356059919051821
57,13.0,1,3,1,1,6638128.7182,4886965.9275,0,0,0.0,1,1,1,77926660.0,0.8466569509686752
57,13.0,1,3,1,1,6556679.2861,4886965.9275,0,0,0.0,1,1,1,75946520.0,0.8454342233254295
57,13.0,1,3,1,1,6566860.4651,4886965.9275,0,0,0.0,1,1,1,72190380.0,0.821347564336287
57,13.0,1,3,1,1,6648309.8972,4886965.9275,0,0,0.0,1,1,1,73743210.0,0.8336796273439195
70,13.0,2,0,3,4,42760.951866,0.0,0,0,46000.0,0,1,1,1239000.0,0.5821917808219178
70,13.0,2,0,3,4,41742.833964,0.0,0,0,46000.0,0,1,1,1239000.0,0.5821917808219178
70,13.0,2,0,3,4,42760.951866,0.0,0,0,46000.0,0,1,1,1238000.0,0.5821917808219178
70,13.0,2,0,3,4,42760.951866,0.0,0,0,46000.0,0,1,1,1239000.0,0.5821917808219178
70,13.0,2,0,3,4,41742.833964,0.0,0,0,46000.0,0,1,1,1239000.0,0.5821917808219178
37,12.0,1,0,2,1,3746673.8778,227040.29205,0,0,67000.0,1,1,1,70879000.0,0.912432545165411
37,12.0,1,0,2,1,3787398.5938,269801.24392,0,0,78000.0,1,1,1,66775000.0,0.9066901408450704
